day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
wed,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15960000000000002,0.23399999999999999,0.2872,0.35109999999999997,0.4043,0.3617,0.35109999999999997,0.3404,0.41490000000000005,0.4468,0.47869999999999996,0.56915,0.7766,0.7979,0.5426,0.0,0.0
thu,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.3404,0.35109999999999997,0.3298,0.3191,0.3191,0.3617,0.41490000000000005,0.4362,0.5318999999999999,0.6915,0.7234,0.4362,0.0,0.0
fri,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489,0.2234,0.2553,0.3298,0.43084999999999996,0.37229999999999996,0.3404,0.3936,0.4362,0.4255,0.4255,0.5106,0.6064,0.5851,0.2872,0.0,0.0
sat,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.4255,0.5106,0.4947,0.45740000000000003,0.45740000000000003,0.5106,0.5426,0.5851,0.6064,0.3936,0.0,0.0,0.0,0.0
sun,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191,0.5,0.5638000000000001,0.5426,0.5,0.5106,0.5638000000000001,0.5851,0.5745,0.6064,0.4894,0.0,0.0,0.0,0.0
mon,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286,0.2143,0.19285,0.32144999999999996,0.40715,0.35,0.3429,0.29285,0.3143,0.4286,0.5286,0.57855,0.6143,0.6286,0.5428999999999999,0.0,0.0
tue,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571,0.3714,0.3714,0.3286,0.35,0.33575000000000005,0.3714,0.4714,0.45,0.52145,0.6143,0.7286,0.5857,0.0,0.0
wed,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286,0.2,0.26425,0.3286,0.3714,0.2857,0.3,0.27140000000000003,0.3857,0.3429,0.4286,0.5,0.6785499999999999,0.7214500000000001,0.30715,0.0,0.0
thu,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857,0.27140000000000003,0.25,0.22145,0.19285,0.1857,0.30715,0.3286,0.49284999999999995,0.5286,0.5642499999999999,0.6286,0.5857,0.0,0.0
fri,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1143,0.23575,0.2286,0.35710000000000003,0.3429,0.35710000000000003,0.3429,0.3286,0.3857,0.4,0.4714,0.62145,0.6429,0.6714,0.6857,0.0,0.0
